SAMPLE_NAME,SAMPLE_HEIGHT,OrgC
192.4819277,192.4819277,
192.4819277,192.4819277,
EA2110_92.7_A,192.7,0.17
EA2110_92.7_B,192.7,
EA2110_93.0_A,193,0.196
EA2110_93.0_B,193,
193.060241,193.060241,
EA2001-24.4,193.2,
EA2110_93.3_A,193.3,
EA2110_93.3_B,193.3,
193.3493976,193.3493976,
EA2110_93.6_A,193.6,0.154
EA2110_93.6_B,193.6,
EA2110_93.9_A,193.9,0.118
EA2110_93.9_B,193.9,
EA2110_94.2_A,194.2,0.07
EA2110_94.2_B,194.2,
EA2001-25.4,194.2,
194.2168675,194.2168675,
194.7951807,194.7951807,
EA2110_94.8_A,194.8,
EA2110_94.8_B,194.8,
EA2110_95.1_A,195.1,
EA2110_95.1_B,195.1,
EA2001-26.3,195.1,
195.373494,195.373494,
EA2110_95.4_A,195.4,
EA2110_95.4_B,195.4,
195.6626506,195.6626506,
EA2110_95.7_A,195.7,0.071
EA2110_95.7_B,195.7,
EA2110_96.0_A,196,0.118
EA2110_96.0_B,196,
EA2110_96.3_A,196.3,
EA2110_96.3_B,196.3,
196.5301205,196.5301205,
EA2110_96.6_A,196.6,0.163
EA2110_96.6_B,196.6,
EA2110_96.9_A,196.9,0.131
EA2110_96.9_B,196.9,
EA2001-28.1a,196.9,
EA2001-28.1b,196.9,
197.1084337,197.1084337,
EA2110_97.2_A,197.2,0.117
EA2110_97.2_B,197.2,
EA2110_97.5_A,197.5,0.094
EA2110_97.5_B,197.5,
EA2001-28.8,197.6,
EA2110_97.8_A,197.8,0.21
EA2110_97.8_B,197.8,
197.9759036,197.9759036,
EA2110_98.1_A,198.1,0.072
EA2110_98.1_B,198.1,
198.2650602,198.2650602,
198.2650602,198.2650602,
EA2110_98.5_A,198.5,0.158
EA2110_98.5_B,198.5,
EA2110_99.0_A,199,0.111
EA2110_99.0_B,199,
199.4216867,199.4216867,
EA2110_99.5_A,199.5,0.155
EA2110_99.5_B,199.5,
199.7108434,199.7108434,
EA2110_100.0_A,200,0.147
EA2110_100.0_B,200,
200.5783133,200.5783133,
200.8674699,200.8674699,
EA2110_101.0_A,201,0.047
EA2110_101.0_B,201,
EA2110_101.5_A,201,
EA2110_101.5_B,201.5,0.116
201.7349398,201.7349398,
EA2110_102.0_A,202,0.08
EA2110_102.0_B,202,
EA2110_102.5_A,202.5,0.112
EA2110_102.5_B,202.5,
202.8915663,202.8915663,
EA2110_103.0_A,203,0.05
EA2110_103.0_B,203,
EA2110_104.5_A,204.5,0.066
EA2110_104.5_B,204.5,
EA2110_105.0_A,205,0.064
EA2110_105.0_B,205,
EA2110_105.5_A,205.5,0.11
EA2110_105.5_B,205.5,
205.7831325,205.7831325,
EA2110_106.0_A,206,0.184
EA2110_106.0_B,206,
EA2110_106.5_A,206.5,0.167133246
EA2110_106.5_B,206.5,
209.8313253,209.8313253,
212.1445783,212.1445783,
214.1686747,214.1686747,
215.9036145,215.9036145,
218.5060241,218.5060241,
220.2409639,220.2409639,
221.686747,221.686747,
224,224,
